,name,PC1,PC2,PC3,PC4,PC5,corDist,description,MaxDist,MeanDist,MaxDist/MeanDist,Gene_Symbol,Pfam,GOBiologicalProcess,SqrtOmega,logNumGOterms,Omega
2140,NM_022892_4,8.06647872,-0.41395039,-0.10462992,0.332382716,1.317976295,0.15597794,"36312. Homo sapiens NLR family apoptosis inhibitory protein (NAIP), transcript variant 2, mRNA",0.0516898,0.034123542,1.514784127,NAIP,PF00653,GO:0006915 [Name: apoptotic process]; GO:0043066 [Name: negative regulation of apoptotic process]; GO:0043154 [Name: negative regulation of cysteine-type endopeptidase activity involved in apoptotic process]; GO:0048678 [Name: response to axon injury]; GO:0043524 [Name: negative regulation of neuron apoptotic process]; GO:0045087 [Name: innate immune response]; GO:0009966 [Name: regulation of signal transduction]; GO:0043200 [Name: response to amino acid]; GO:0006954 [Name: inflammatory response]; GO:0007399 [Name: nervous system development]; GO:0016567 [Name: protein ubiquitination],0.825011612,2.48490665,0.68064416
2236,NM_005810_1,5.998408151,-1.203098957,-1.100442981,-1.779036483,0.834994903,0.223650453,"29694. Homo sapiens killer cell lectin like receptor G1 (KLRG1), transcript variant 2, mRNA",0.0493744,0.029493523,1.674076015,KLRG1,PF00059,GO:0007166 [Name: cell surface receptor signaling pathway]; GO:0045087 [Name: innate immune response]; GO:0006954 [Name: inflammatory response]; GO:0006968 [Name: cellular defense response],0.819257506,1.609437912,0.671182862
2302,NM_172359_1,10.54972708,1.214994823,-0.747462315,-0.19919129,-0.219587672,0.088511061,"41533. Homo sapiens CD46 molecule (CD46), transcript variant b, mRNA",0.0792011,0.05128242,1.544410359,CD46,PF00084,GO:0032613 [Name: interleukin-10 production]; GO:0002456 [Name: T cell mediated immunity]; GO:0010629 [Name: negative regulation of gene expression]; GO:0045916 [Name: negative regulation of complement activation]; GO:0032733 [Name: positive regulation of interleukin-10 production]; GO:0045087 [Name: innate immune response]; GO:0046718 [Name: viral entry into host cell]; GO:0008593 [Name: regulation of Notch signaling pathway]; GO:0035581 [Name: sequestering of extracellular ligand from receptor]; GO:0042102 [Name: positive regulation of T cell proliferation]; GO:0006958 [Name: complement activation. classical pathway]; GO:0007338 [Name: single fertilization]; GO:0030449 [Name: regulation of complement activation]; GO:0010628 [Name: positive regulation of gene expression]; GO:0043086 [Name: negative regulation of catalytic activity]; GO:0043382 [Name: positive regulation of memory T cell differentiation]; GO:0071636 [Name: positive regulation of transforming growth factor beta production]; GO:0002250 [Name: adaptive immune response]; GO:0006508 [Name: proteolysis]; GO:0045591 [Name: positive regulation of regulatory T cell differentiation],0.81351195,3.044522438,0.661801693
2308,NM_021057_1,10.57743938,1.320466237,-1.14825047,-0.972283669,-0.200820698,0.093043696,"35608. Homo sapiens interferon alpha 7 (IFNA7), mRNA",0.0843731,0.057174355,1.475715817,IFNA7,PF00143,GO:0045087 [Name: innate immune response]; GO:0060337 [Name: type I interferon signaling pathway]; GO:0030183 [Name: B cell differentiation]; GO:0002286 [Name: T cell activation involved in immune response]; GO:0009615 [Name: response to virus]; GO:0002323 [Name: natural killer cell activation involved in immune response]; GO:0006959 [Name: humoral immune response]; GO:0019221 [Name: cytokine-mediated signaling pathway]; GO:0043330 [Name: response to exogenous dsRNA]; GO:0051607 [Name: defense response to virus]; GO:0033141 [Name: positive regulation of peptidyl-serine phosphorylation of STAT protein]; GO:0060338 [Name: regulation of type I interferon-mediated signaling pathway]; GO:0007267 [Name: cell-cell signaling]; GO:0007596 [Name: blood coagulation]; GO:0042100 [Name: B cell proliferation]; GO:0002250 [Name: adaptive immune response],0.812760622,2.833213344,0.660579828
2395,NM_002173_1,12.30354618,2.104393167,-0.362764179,0.734133187,-1.579803294,0.061798626,"26332. Homo sapiens interferon alpha 16 (IFNA16), mRNA",0.147257,0.085195795,1.728453849,IFNA16,PF00143,GO:0030183 [Name: B cell differentiation]; GO:0045087 [Name: innate immune response]; GO:0007596 [Name: blood coagulation]; GO:0051607 [Name: defense response to virus]; GO:0002250 [Name: adaptive immune response]; GO:0006959 [Name: humoral immune response]; GO:0002286 [Name: T cell activation involved in immune response]; GO:0033141 [Name: positive regulation of peptidyl-serine phosphorylation of STAT protein]; GO:0042100 [Name: B cell proliferation]; GO:0060338 [Name: regulation of type I interferon-mediated signaling pathway]; GO:0043330 [Name: response to exogenous dsRNA]; GO:0002323 [Name: natural killer cell activation involved in immune response]; GO:0019221 [Name: cytokine-mediated signaling pathway]; GO:0060337 [Name: type I interferon signaling pathway],0.808159926,2.708050201,0.653122466
2430,NM_006900_1,8.090176897,-1.318194345,-1.325742908,-1.449198216,0.575475921,0.171528416,"30692. Homo sapiens interferon alpha 13 (IFNA13), mRNA",0.0492368,0.028302869,1.739639921,IFNA13,PF00143,GO:0002250 [Name: adaptive immune response]; GO:0002286 [Name: T cell activation involved in immune response]; GO:0019221 [Name: cytokine-mediated signaling pathway]; GO:0033141 [Name: positive regulation of peptidyl-serine phosphorylation of STAT protein]; GO:0042100 [Name: B cell proliferation]; GO:0045087 [Name: innate immune response]; GO:0002323 [Name: natural killer cell activation involved in immune response]; GO:0051607 [Name: defense response to virus]; GO:0007596 [Name: blood coagulation]; GO:0060337 [Name: type I interferon signaling pathway]; GO:0006959 [Name: humoral immune response]; GO:0043330 [Name: response to exogenous dsRNA]; GO:0060338 [Name: regulation of type I interferon-mediated signaling pathway]; GO:0030183 [Name: B cell differentiation],0.805698027,2.708050201,0.64914931
2432,NM_000508_1,7.443292532,2.07375082,-0.3909491,-1.930520322,0.432388607,0.159506769,"477. Homo sapiens fibrinogen alpha chain (FGA), transcript variant alpha, mRNA",0.0593312,0.038718484,1.532374061,FGA,PF00147; PF08702; PF12160,GO:0030198 [Name: extracellular matrix organization]; GO:0042730 [Name: fibrinolysis]; GO:0043278 [Name: response to morphine]; GO:0046898 [Name: response to cycloheximide]; GO:0002250 [Name: adaptive immune response]; GO:0031639 [Name: plasminogen activation]; GO:0032355 [Name: response to estradiol]; GO:0050714 [Name: positive regulation of protein secretion]; GO:0071354 [Name: cellular response to interleukin-6]; GO:1990643 [Name: cellular response to granulocyte colony-stimulating factor]; GO:0043152 [Name: induction of bacterial agglutination]; GO:0045907 [Name: positive regulation of vasoconstriction]; GO:2000352 [Name: negative regulation of endothelial cell apoptotic process]; GO:0002576 [Name: platelet degranulation]; GO:0006461 [Name: protein complex assembly]; GO:0007596 [Name: blood coagulation]; GO:0051592 [Name: response to calcium ion]; GO:1902042 [Name: negative regulation of extrinsic apoptotic signaling pathway via death domain receptors]; GO:0007165 [Name: signal transduction]; GO:0043623 [Name: cellular protein complex assembly]; GO:0045921 [Name: positive regulation of exocytosis]; GO:0070527 [Name: platelet aggregation]; GO:0072377 [Name: blood coagulation. common pathway]; GO:0090277 [Name: positive regulation of peptide hormone secretion]; GO:0097421 [Name: liver regeneration]; GO:0044267 [Name: cellular protein metabolic process]; GO:0051258 [Name: protein polymerization]; GO:0071407 [Name: cellular response to organic cyclic compound]; GO:0072378 [Name: blood coagulation. fibrin clot formation]; GO:1900026 [Name: positive regulation of substrate adhesion-dependent cell spreading]; GO:0006953 [Name: acute-phase response]; GO:0007160 [Name: cell-matrix adhesion]; GO:0033595 [Name: response to genistein]; GO:0034116 [Name: positive regulation of heterotypic cell-cell adhesion]; GO:0045087 [Name: innate immune response]; GO:0070374 [Name: positive regulation of ERK1 and ERK2 cascade],0.805511318,3.610917913,0.648848484
2515,NM_002175_1,10.01510579,-0.534634798,-1.300257191,-0.938089854,0.085433787,0.12794234,"26333. Homo sapiens interferon alpha 21 (IFNA21), mRNA",0.076917,0.051677752,1.488396792,IFNA21,PF00143,GO:0033141 [Name: positive regulation of peptidyl-serine phosphorylation of STAT protein]; GO:0060337 [Name: type I interferon signaling pathway]; GO:0042100 [Name: B cell proliferation]; GO:0019221 [Name: cytokine-mediated signaling pathway]; GO:0051607 [Name: defense response to virus]; GO:0060338 [Name: regulation of type I interferon-mediated signaling pathway]; GO:0006959 [Name: humoral immune response]; GO:0030183 [Name: B cell differentiation]; GO:0002250 [Name: adaptive immune response]; GO:0002286 [Name: T cell activation involved in immune response]; GO:0043330 [Name: response to exogenous dsRNA]; GO:0045087 [Name: innate immune response]; GO:0002323 [Name: natural killer cell activation involved in immune response]; GO:0007596 [Name: blood coagulation],0.798933033,2.708050201,0.638293991
2590,NM_053282_1,6.079183869,-0.787307422,-1.109879448,-2.328997173,0.208554078,0.221890127,"38815. Homo sapiens SH2 domain containing 1B (SH2D1B), mRNA",0.044484,0.021793958,2.041116192,SH2D1B,PF00017,GO:0002250 [Name: adaptive immune response]; GO:0002366 [Name: leukocyte activation involved in immune response]; GO:0050776 [Name: regulation of immune response]; GO:0045087 [Name: innate immune response]; GO:0002717 [Name: positive regulation of natural killer cell mediated immunity]; GO:0045089 [Name: positive regulation of innate immune response],0.794083462,1.945910149,0.630568544
2608,NM_021068_1,8.914774414,0.445584738,-0.102709072,-1.136316347,0.076872926,0.136440276,"35618. Homo sapiens interferon alpha 4 (IFNA4), mRNA",0.0767102,0.050005396,1.534038452,IFNA4,PF00143,GO:0006959 [Name: humoral immune response]; GO:0007596 [Name: blood coagulation]; GO:0030183 [Name: B cell differentiation]; GO:0051607 [Name: defense response to virus]; GO:0002286 [Name: T cell activation involved in immune response]; GO:0009615 [Name: response to virus]; GO:0002250 [Name: adaptive immune response]; GO:0019221 [Name: cytokine-mediated signaling pathway]; GO:0042100 [Name: B cell proliferation]; GO:0002323 [Name: natural killer cell activation involved in immune response]; GO:0043330 [Name: response to exogenous dsRNA]; GO:0060337 [Name: type I interferon signaling pathway]; GO:0060338 [Name: regulation of type I interferon-mediated signaling pathway]; GO:0033141 [Name: positive regulation of peptidyl-serine phosphorylation of STAT protein]; GO:0045087 [Name: innate immune response],0.792625233,2.772588722,0.62825476
2620,NM_181449_1,8.392493676,-1.033221892,-1.361322014,-1.060141145,0.320638946,0.157371623,"42508. Homo sapiens CD300e molecule (CD300E), mRNA",0.0672679,0.039421147,1.70639123,CD300E,PF07686,GO:0045087 [Name: innate immune response]; GO:0050776 [Name: regulation of immune response],0.791290821,1.098612289,0.626141164
2635,NM_004536_1,7.261314241,1.025149931,0.511400554,0.526739647,0.665449016,0.152867706,"28517. Homo sapiens NLR family apoptosis inhibitory protein (NAIP), transcript variant 1, mRNA",0.0539889,0.033353208,1.618701885,NAIP,PF00653,GO:0006915 [Name: apoptotic process]; GO:0043066 [Name: negative regulation of apoptotic process]; GO:0043154 [Name: negative regulation of cysteine-type endopeptidase activity involved in apoptotic process]; GO:0048678 [Name: response to axon injury]; GO:0043524 [Name: negative regulation of neuron apoptotic process]; GO:0045087 [Name: innate immune response]; GO:0009966 [Name: regulation of signal transduction]; GO:0043200 [Name: response to amino acid]; GO:0006954 [Name: inflammatory response]; GO:0007399 [Name: nervous system development]; GO:0016567 [Name: protein ubiquitination],0.790418548,2.48490665,0.624761482
2652,NM_004828_1,9.311478071,0.471805504,-1.040928251,-1.076741867,-0.172602046,0.118563284,"28795. Homo sapiens natural cytotoxicity triggering receptor 2 (NCR2), transcript variant 1, mRNA",0.0674351,0.041534408,1.623596013,NCR2,PF07686,GO:0045087 [Name: innate immune response]; GO:0006968 [Name: cellular defense response]; GO:0050776 [Name: regulation of immune response]; GO:0007165 [Name: signal transduction],0.788702432,1.609437912,0.622051526
2680,NM_199161_1,5.001205504,-1.977856846,-1.085540754,-1.600102811,0.775116693,0.260858226,"43648. Homo sapiens serum amyloid A1 (SAA1), transcript variant 2, mRNA",0.103204,0.061220247,1.685782154,SAA1,PF00277,GO:0050918 [Name: positive chemotaxis]; GO:0045087 [Name: innate immune response]; GO:0050708 [Name: regulation of protein secretion]; GO:0000187 [Name: activation of MAPK activity]; GO:0006953 [Name: acute-phase response]; GO:0030168 [Name: platelet activation]; GO:0050715 [Name: positive regulation of cytokine secretion]; GO:0048246 [Name: macrophage chemotaxis]; GO:0050728 [Name: negative regulation of inflammatory response]; GO:0006898 [Name: receptor-mediated endocytosis]; GO:0048247 [Name: lymphocyte chemotaxis]; GO:0050716 [Name: positive regulation of interleukin-1 secretion]; GO:0007204 [Name: positive regulation of cytosolic calcium ion concentration]; GO:0030593 [Name: neutrophil chemotaxis]; GO:0044267 [Name: cellular protein metabolic process]; GO:0045785 [Name: positive regulation of cell adhesion],0.786870516,2.833213344,0.619165209
2690,NM_001136_2,4.380379466,-1.758697711,-0.727572998,-1.531393826,0.774398968,0.271608919,"6458. Homo sapiens advanced glycosylation end-product specific receptor (AGER), transcript variant 1, mRNA",0.0342275,0.01941101,1.763303436,AGER,PF08205; PF13895; PF00047,GO:0001933 [Name: negative regulation of protein phosphorylation]; GO:0001934 [Name: positive regulation of protein phosphorylation]; GO:0006954 [Name: inflammatory response]; GO:0007166 [Name: cell surface receptor signaling pathway]; GO:0010596 [Name: negative regulation of endothelial cell migration]; GO:0010718 [Name: positive regulation of epithelial to mesenchymal transition]; GO:0010763 [Name: positive regulation of fibroblast migration]; GO:0071407 [Name: cellular response to organic cyclic compound]; GO:2000514 [Name: regulation of CD4-positive. alpha-beta T cell activation]; GO:0032693 [Name: negative regulation of interleukin-10 production]; GO:0043525 [Name: positive regulation of neuron apoptotic process]; GO:0048146 [Name: positive regulation of fibroblast proliferation]; GO:0001914 [Name: regulation of T cell mediated cytotoxicity]; GO:0009100 [Name: glycoprotein metabolic process]; GO:0033595 [Name: response to genistein]; GO:0051595 [Name: response to methylglyoxal]; GO:0055074 [Name: calcium ion homeostasis]; GO:0007420 [Name: brain development]; GO:0031175 [Name: neuron projection development]; GO:0032735 [Name: positive regulation of interleukin-12 production]; GO:0032966 [Name: negative regulation of collagen biosynthetic process]; GO:0035690 [Name: cellular response to drug]; GO:0048661 [Name: positive regulation of smooth muscle cell proliferation]; GO:0072714 [Name: response to selenite ion]; GO:2000379 [Name: positive regulation of reactive oxygen species metabolic process]; GO:0030324 [Name: lung development]; GO:0045087 [Name: innate immune response]; GO:0071333 [Name: cellular response to glucose stimulus]; GO:2000676 [Name: positive regulation of type B pancreatic cell apoptotic process]; GO:2001200 [Name: positive regulation of dendritic cell differentiation]; GO:0007162 [Name: negative regulation of cell adhesion]; GO:0007259 [Name: JAK-STAT cascade]; GO:0009750 [Name: response to fructose]; GO:0033689 [Name: negative regulation of osteoblast proliferation]; GO:0050729 [Name: positive regulation of inflammatory response]; GO:0060290 [Name: transdifferentiation]; GO:0070301 [Name: cellular response to hydrogen peroxide]; GO:1901018 [Name: positive regulation of potassium ion transmembrane transporter activity]; GO:0010628 [Name: positive regulation of gene expression]; GO:0014823 [Name: response to activity]; GO:0033189 [Name: response to vitamin A]; GO:0042104 [Name: positive regulation of activated T cell proliferation]; GO:0051092 [Name: positive regulation of NF-kappaB transcription factor activity]; GO:0055093 [Name: response to hyperoxia]; GO:0060100 [Name: positive regulation of phagocytosis. engulfment]; GO:0071398 [Name: cellular response to fatty acid]; GO:0001937 [Name: negative regulation of endothelial cell proliferation]; GO:0009611 [Name: response to wounding]; GO:0010508 [Name: positive regulation of autophagy]; GO:0014911 [Name: positive regulation of smooth muscle cell migration]; GO:2000353 [Name: positive regulation of endothelial cell apoptotic process],0.785953484,3.951243719,0.61772288
2691,NM_001136_5,4.380379466,-1.758697711,-0.727572998,-1.531393826,0.774398968,0.271608919,"6458. Homo sapiens advanced glycosylation end-product specific receptor (AGER), transcript variant 1, mRNA",0.0342275,0.01941101,1.763303436,AGER,PF08205; PF13895; PF00047,GO:0001933 [Name: negative regulation of protein phosphorylation]; GO:0001934 [Name: positive regulation of protein phosphorylation]; GO:0006954 [Name: inflammatory response]; GO:0007166 [Name: cell surface receptor signaling pathway]; GO:0010596 [Name: negative regulation of endothelial cell migration]; GO:0010718 [Name: positive regulation of epithelial to mesenchymal transition]; GO:0010763 [Name: positive regulation of fibroblast migration]; GO:0071407 [Name: cellular response to organic cyclic compound]; GO:2000514 [Name: regulation of CD4-positive. alpha-beta T cell activation]; GO:0032693 [Name: negative regulation of interleukin-10 production]; GO:0043525 [Name: positive regulation of neuron apoptotic process]; GO:0048146 [Name: positive regulation of fibroblast proliferation]; GO:0001914 [Name: regulation of T cell mediated cytotoxicity]; GO:0009100 [Name: glycoprotein metabolic process]; GO:0033595 [Name: response to genistein]; GO:0051595 [Name: response to methylglyoxal]; GO:0055074 [Name: calcium ion homeostasis]; GO:0007420 [Name: brain development]; GO:0031175 [Name: neuron projection development]; GO:0032735 [Name: positive regulation of interleukin-12 production]; GO:0032966 [Name: negative regulation of collagen biosynthetic process]; GO:0035690 [Name: cellular response to drug]; GO:0048661 [Name: positive regulation of smooth muscle cell proliferation]; GO:0072714 [Name: response to selenite ion]; GO:2000379 [Name: positive regulation of reactive oxygen species metabolic process]; GO:0030324 [Name: lung development]; GO:0045087 [Name: innate immune response]; GO:0071333 [Name: cellular response to glucose stimulus]; GO:2000676 [Name: positive regulation of type B pancreatic cell apoptotic process]; GO:2001200 [Name: positive regulation of dendritic cell differentiation]; GO:0007162 [Name: negative regulation of cell adhesion]; GO:0007259 [Name: JAK-STAT cascade]; GO:0009750 [Name: response to fructose]; GO:0033689 [Name: negative regulation of osteoblast proliferation]; GO:0050729 [Name: positive regulation of inflammatory response]; GO:0060290 [Name: transdifferentiation]; GO:0070301 [Name: cellular response to hydrogen peroxide]; GO:1901018 [Name: positive regulation of potassium ion transmembrane transporter activity]; GO:0010628 [Name: positive regulation of gene expression]; GO:0014823 [Name: response to activity]; GO:0033189 [Name: response to vitamin A]; GO:0042104 [Name: positive regulation of activated T cell proliferation]; GO:0051092 [Name: positive regulation of NF-kappaB transcription factor activity]; GO:0055093 [Name: response to hyperoxia]; GO:0060100 [Name: positive regulation of phagocytosis. engulfment]; GO:0071398 [Name: cellular response to fatty acid]; GO:0001937 [Name: negative regulation of endothelial cell proliferation]; GO:0009611 [Name: response to wounding]; GO:0010508 [Name: positive regulation of autophagy]; GO:0014911 [Name: positive regulation of smooth muscle cell migration]; GO:2000353 [Name: positive regulation of endothelial cell apoptotic process],0.785953293,3.951243719,0.617722579
2714,NM_014474_1,10.68526871,2.126894114,-0.174057215,0.171704358,-1.405355704,0.075736357,"32033. Homo sapiens sphingomyelin phosphodiesterase acid like 3B (SMPDL3B), transcript variant 1, mRNA",0.0845455,0.049555585,1.706074098,SMPDL3B,PF00149,GO:0034122 [Name: negative regulation of toll-like receptor signaling pathway]; GO:0045087 [Name: innate immune response]; GO:0006685 [Name: sphingomyelin catabolic process]; GO:0008150 [Name: biological_process]; GO:0050728 [Name: negative regulation of inflammatory response]; GO:0006954 [Name: inflammatory response]; GO:0046466 [Name: membrane lipid catabolic process],0.783754926,2.079441542,0.614271783
2766,NM_001037498_1,8.126692611,-0.084120108,-1.576910566,-2.996058683,0.025609144,0.172804433,"3183. Homo sapiens defensin beta 112 (DEFB112), mRNA",0.0724766,0.043464572,1.667486798,DEFB112,PF13841,GO:0042742 [Name: defense response to bacterium]; GO:0045087 [Name: innate immune response],0.779923502,1.098612289,0.608280668
2828,NM_001136_4,4.235814526,-1.740147202,-0.667791797,-1.551390636,0.691798848,0.275486183,"6458. Homo sapiens advanced glycosylation end-product specific receptor (AGER), transcript variant 1, mRNA",0.0342275,0.019190458,1.783568701,AGER,PF08205; PF13895; PF00047,GO:0001933 [Name: negative regulation of protein phosphorylation]; GO:0001934 [Name: positive regulation of protein phosphorylation]; GO:0006954 [Name: inflammatory response]; GO:0007166 [Name: cell surface receptor signaling pathway]; GO:0010596 [Name: negative regulation of endothelial cell migration]; GO:0010718 [Name: positive regulation of epithelial to mesenchymal transition]; GO:0010763 [Name: positive regulation of fibroblast migration]; GO:0071407 [Name: cellular response to organic cyclic compound]; GO:2000514 [Name: regulation of CD4-positive. alpha-beta T cell activation]; GO:0032693 [Name: negative regulation of interleukin-10 production]; GO:0043525 [Name: positive regulation of neuron apoptotic process]; GO:0048146 [Name: positive regulation of fibroblast proliferation]; GO:0001914 [Name: regulation of T cell mediated cytotoxicity]; GO:0009100 [Name: glycoprotein metabolic process]; GO:0033595 [Name: response to genistein]; GO:0051595 [Name: response to methylglyoxal]; GO:0055074 [Name: calcium ion homeostasis]; GO:0007420 [Name: brain development]; GO:0031175 [Name: neuron projection development]; GO:0032735 [Name: positive regulation of interleukin-12 production]; GO:0032966 [Name: negative regulation of collagen biosynthetic process]; GO:0035690 [Name: cellular response to drug]; GO:0048661 [Name: positive regulation of smooth muscle cell proliferation]; GO:0072714 [Name: response to selenite ion]; GO:2000379 [Name: positive regulation of reactive oxygen species metabolic process]; GO:0030324 [Name: lung development]; GO:0045087 [Name: innate immune response]; GO:0071333 [Name: cellular response to glucose stimulus]; GO:2000676 [Name: positive regulation of type B pancreatic cell apoptotic process]; GO:2001200 [Name: positive regulation of dendritic cell differentiation]; GO:0007162 [Name: negative regulation of cell adhesion]; GO:0007259 [Name: JAK-STAT cascade]; GO:0009750 [Name: response to fructose]; GO:0033689 [Name: negative regulation of osteoblast proliferation]; GO:0050729 [Name: positive regulation of inflammatory response]; GO:0060290 [Name: transdifferentiation]; GO:0070301 [Name: cellular response to hydrogen peroxide]; GO:1901018 [Name: positive regulation of potassium ion transmembrane transporter activity]; GO:0010628 [Name: positive regulation of gene expression]; GO:0014823 [Name: response to activity]; GO:0033189 [Name: response to vitamin A]; GO:0042104 [Name: positive regulation of activated T cell proliferation]; GO:0051092 [Name: positive regulation of NF-kappaB transcription factor activity]; GO:0055093 [Name: response to hyperoxia]; GO:0060100 [Name: positive regulation of phagocytosis. engulfment]; GO:0071398 [Name: cellular response to fatty acid]; GO:0001937 [Name: negative regulation of endothelial cell proliferation]; GO:0009611 [Name: response to wounding]; GO:0010508 [Name: positive regulation of autophagy]; GO:0014911 [Name: positive regulation of smooth muscle cell migration]; GO:2000353 [Name: positive regulation of endothelial cell apoptotic process],0.774687449,3.951243719,0.600140644
2829,NM_001136_6,4.235814526,-1.740147202,-0.667791797,-1.551390636,0.691798848,0.275486183,"6458. Homo sapiens advanced glycosylation end-product specific receptor (AGER), transcript variant 1, mRNA",0.0342275,0.019190458,1.783568701,AGER,PF08205; PF13895; PF00047,GO:0001933 [Name: negative regulation of protein phosphorylation]; GO:0001934 [Name: positive regulation of protein phosphorylation]; GO:0006954 [Name: inflammatory response]; GO:0007166 [Name: cell surface receptor signaling pathway]; GO:0010596 [Name: negative regulation of endothelial cell migration]; GO:0010718 [Name: positive regulation of epithelial to mesenchymal transition]; GO:0010763 [Name: positive regulation of fibroblast migration]; GO:0071407 [Name: cellular response to organic cyclic compound]; GO:2000514 [Name: regulation of CD4-positive. alpha-beta T cell activation]; GO:0032693 [Name: negative regulation of interleukin-10 production]; GO:0043525 [Name: positive regulation of neuron apoptotic process]; GO:0048146 [Name: positive regulation of fibroblast proliferation]; GO:0001914 [Name: regulation of T cell mediated cytotoxicity]; GO:0009100 [Name: glycoprotein metabolic process]; GO:0033595 [Name: response to genistein]; GO:0051595 [Name: response to methylglyoxal]; GO:0055074 [Name: calcium ion homeostasis]; GO:0007420 [Name: brain development]; GO:0031175 [Name: neuron projection development]; GO:0032735 [Name: positive regulation of interleukin-12 production]; GO:0032966 [Name: negative regulation of collagen biosynthetic process]; GO:0035690 [Name: cellular response to drug]; GO:0048661 [Name: positive regulation of smooth muscle cell proliferation]; GO:0072714 [Name: response to selenite ion]; GO:2000379 [Name: positive regulation of reactive oxygen species metabolic process]; GO:0030324 [Name: lung development]; GO:0045087 [Name: innate immune response]; GO:0071333 [Name: cellular response to glucose stimulus]; GO:2000676 [Name: positive regulation of type B pancreatic cell apoptotic process]; GO:2001200 [Name: positive regulation of dendritic cell differentiation]; GO:0007162 [Name: negative regulation of cell adhesion]; GO:0007259 [Name: JAK-STAT cascade]; GO:0009750 [Name: response to fructose]; GO:0033689 [Name: negative regulation of osteoblast proliferation]; GO:0050729 [Name: positive regulation of inflammatory response]; GO:0060290 [Name: transdifferentiation]; GO:0070301 [Name: cellular response to hydrogen peroxide]; GO:1901018 [Name: positive regulation of potassium ion transmembrane transporter activity]; GO:0010628 [Name: positive regulation of gene expression]; GO:0014823 [Name: response to activity]; GO:0033189 [Name: response to vitamin A]; GO:0042104 [Name: positive regulation of activated T cell proliferation]; GO:0051092 [Name: positive regulation of NF-kappaB transcription factor activity]; GO:0055093 [Name: response to hyperoxia]; GO:0060100 [Name: positive regulation of phagocytosis. engulfment]; GO:0071398 [Name: cellular response to fatty acid]; GO:0001937 [Name: negative regulation of endothelial cell proliferation]; GO:0009611 [Name: response to wounding]; GO:0010508 [Name: positive regulation of autophagy]; GO:0014911 [Name: positive regulation of smooth muscle cell migration]; GO:2000353 [Name: positive regulation of endothelial cell apoptotic process],0.774687449,3.951243719,0.600140644
2830,NM_001136_7,4.235814526,-1.740147202,-0.667791797,-1.551390636,0.691798848,0.275486183,"6458. Homo sapiens advanced glycosylation end-product specific receptor (AGER), transcript variant 1, mRNA",0.0342275,0.019190458,1.783568701,AGER,PF08205; PF13895; PF00047,GO:0001933 [Name: negative regulation of protein phosphorylation]; GO:0001934 [Name: positive regulation of protein phosphorylation]; GO:0006954 [Name: inflammatory response]; GO:0007166 [Name: cell surface receptor signaling pathway]; GO:0010718 [Name: positive regulation of epithelial to mesenchymal transition]; GO:2000514 [Name: regulation of CD4-positive. alpha-beta T cell activation]; GO:0010596 [Name: negative regulation of endothelial cell migration]; GO:0010763 [Name: positive regulation of fibroblast migration]; GO:0071407 [Name: cellular response to organic cyclic compound]; GO:0032693 [Name: negative regulation of interleukin-10 production]; GO:0043525 [Name: positive regulation of neuron apoptotic process]; GO:0048146 [Name: positive regulation of fibroblast proliferation]; GO:0001914 [Name: regulation of T cell mediated cytotoxicity]; GO:0055074 [Name: calcium ion homeostasis]; GO:0051595 [Name: response to methylglyoxal]; GO:0009100 [Name: glycoprotein metabolic process]; GO:0033595 [Name: response to genistein]; GO:0007420 [Name: brain development]; GO:0032735 [Name: positive regulation of interleukin-12 production]; GO:0048661 [Name: positive regulation of smooth muscle cell proliferation]; GO:2000379 [Name: positive regulation of reactive oxygen species metabolic process]; GO:0035690 [Name: cellular response to drug]; GO:0031175 [Name: neuron projection development]; GO:0032966 [Name: negative regulation of collagen biosynthetic process]; GO:0072714 [Name: response to selenite ion]; GO:0030324 [Name: lung development]; GO:0045087 [Name: innate immune response]; GO:0071333 [Name: cellular response to glucose stimulus]; GO:2000676 [Name: positive regulation of type B pancreatic cell apoptotic process]; GO:2001200 [Name: positive regulation of dendritic cell differentiation]; GO:0007162 [Name: negative regulation of cell adhesion]; GO:0007259 [Name: JAK-STAT cascade]; GO:0009750 [Name: response to fructose]; GO:0050729 [Name: positive regulation of inflammatory response]; GO:0060290 [Name: transdifferentiation]; GO:0070301 [Name: cellular response to hydrogen peroxide]; GO:1901018 [Name: positive regulation of potassium ion transmembrane transporter activity]; GO:0033689 [Name: negative regulation of osteoblast proliferation]; GO:0010628 [Name: positive regulation of gene expression]; GO:0014823 [Name: response to activity]; GO:0033189 [Name: response to vitamin A]; GO:0042104 [Name: positive regulation of activated T cell proliferation]; GO:0055093 [Name: response to hyperoxia]; GO:0051092 [Name: positive regulation of NF-kappaB transcription factor activity]; GO:0060100 [Name: positive regulation of phagocytosis. engulfment]; GO:0071398 [Name: cellular response to fatty acid]; GO:0001937 [Name: negative regulation of endothelial cell proliferation]; GO:0010508 [Name: positive regulation of autophagy]; GO:0014911 [Name: positive regulation of smooth muscle cell migration]; GO:2000353 [Name: positive regulation of endothelial cell apoptotic process]; GO:0009611 [Name: response to wounding],0.774687449,3.951243719,0.600140644
